entry,at,order
"The player ""Hossein @ casYoi_zZN"" passed the room ownership to ""Mohammad M @ xHiJmE_Qdf"".",2022-04-28T01:50:12.514Z,165111061251400
"-- ending hand #39 --",2022-04-28T01:42:46.228Z,165111016622803
"""Siamak @ XGXRtKsbbo"" shows a J♠, A♠.",2022-04-28T01:42:46.228Z,165111016622802
"""Mohammad M @ xHiJmE_Qdf"" collected 1500 from pot with Two Pair, K's & 3's (combination: K♦, K♣, 3♦, 3♥, J♣)",2022-04-28T01:42:46.228Z,165111016622801
"""Mohammad M @ xHiJmE_Qdf"" shows a 3♦, K♦.",2022-04-28T01:42:46.228Z,165111016622800
"""Mohammad M @ xHiJmE_Qdf"" calls 250",2022-04-28T01:42:45.359Z,165111016535900
"""Shohreh @ UA4oSZwjWd"" folds",2022-04-28T01:42:43.977Z,165111016397700
"""Siamak @ XGXRtKsbbo"" bets 250",2022-04-28T01:42:41.621Z,165111016162100
"""Mohammad M @ xHiJmE_Qdf"" checks",2022-04-28T01:42:38.609Z,165111015860900
"River: 4♥, 5♠, 3♥, J♣ [K♣]",2022-04-28T01:42:36.199Z,165111015619900
"""Mohammad M @ xHiJmE_Qdf"" calls 100",2022-04-28T01:42:35.307Z,165111015530700
"""Shohreh @ UA4oSZwjWd"" calls 100",2022-04-28T01:42:32.091Z,165111015209100
"""Siamak @ XGXRtKsbbo"" bets 100",2022-04-28T01:42:30.992Z,165111015099200
"""Mohammad M @ xHiJmE_Qdf"" checks",2022-04-28T01:42:28.611Z,165111014861100
"Turn: 4♥, 5♠, 3♥ [J♣]",2022-04-28T01:42:26.796Z,165111014679600
"""Shohreh @ UA4oSZwjWd"" calls 100",2022-04-28T01:42:25.938Z,165111014593800
"""Siamak @ XGXRtKsbbo"" calls 100",2022-04-28T01:42:25.092Z,165111014509200
"""Amin 🪓 @ q7yik-c0PC"" folds",2022-04-28T01:42:24.149Z,165111014414900
"""Mohammad M @ xHiJmE_Qdf"" bets 100",2022-04-28T01:42:22.609Z,165111014260900
"Flop:  [4♥, 5♠, 3♥]",2022-04-28T01:42:20.299Z,165111014029900
"""Amin 🪓 @ q7yik-c0PC"" checks",2022-04-28T01:42:19.473Z,165111013947300
"""Mohammad M @ xHiJmE_Qdf"" calls 100",2022-04-28T01:42:18.161Z,165111013816100
