entry,at,order
"-- ending hand #96 --",2022-04-28T03:03:32.189Z,165111501218901
"""Samiraa @ casYoi_zZN"" collected 17184 from pot with Two Pair, 10's & 9's (combination: 10♣, 10♠, 9♣, 9♥, 8♥)",2022-04-28T03:03:32.189Z,165111501218900
"River: 10♠, 9♥, 8♥, 5♣ [2♦]",2022-04-28T03:03:28.101Z,165111500810100
"Turn: 10♠, 9♥, 8♥ [5♣]",2022-04-28T03:03:24.082Z,165111500408200
"""Samiraa @ casYoi_zZN"" shows a 10♣, 9♣.",2022-04-28T03:03:19.979Z,165111499997902
"""Nasrin @ CEk0cMuwn3"" shows a A♥, 9♠.",2022-04-28T03:03:19.979Z,165111499997901
"Uncalled bet of 10880 returned to ""Samiraa @ casYoi_zZN""",2022-04-28T03:03:19.979Z,165111499997900
"""Mahboub @ 6bzXjnEYxs"" folds",2022-04-28T03:03:19.105Z,165111499910500
"""Samiraa @ casYoi_zZN"" bets 10880",2022-04-28T03:03:16.319Z,165111499631900
"""Mahboub @ 6bzXjnEYxs"" checks",2022-04-28T03:03:13.897Z,165111499389700
"Flop:  [10♠, 9♥, 8♥]",2022-04-28T03:03:11.170Z,165111499117000
"""Mahboub @ 6bzXjnEYxs"" calls 5728",2022-04-28T03:03:10.362Z,165111499036200
"""Samiraa @ casYoi_zZN"" calls 5728",2022-04-28T03:03:00.651Z,165111498065100
"""Nasrin @ CEk0cMuwn3"" raises to 5728 and go all in",2022-04-28T03:02:58.582Z,165111497858200
"""Mahboub @ 6bzXjnEYxs"" calls 2000",2022-04-28T03:02:50.301Z,165111497030100
"""Hojr @ ZjUOreNbvL"" folds",2022-04-28T03:02:48.251Z,165111496825100
"""erfan m @ QiP7VCJIwA"" folds",2022-04-28T03:02:47.313Z,165111496731300
"""Samiraa @ casYoi_zZN"" calls 2000",2022-04-28T03:02:45.097Z,165111496509700
"""Nasrin @ CEk0cMuwn3"" posts a big blind of 2000",2022-04-28T03:02:40.083Z,165111496008308
"""Mahboub @ 6bzXjnEYxs"" posts a small blind of 1000",2022-04-28T03:02:40.083Z,165111496008307
"Player stacks: #2 ""erfan m @ QiP7VCJIwA"" (66702) | #3 ""Hojr @ ZjUOreNbvL"" (14008) | #6 ""Mahboub @ 6bzXjnEYxs"" (16608) | #7 ""Nasrin @ CEk0cMuwn3"" (5728) | #10 ""Samiraa @ casYoi_zZN"" (22444)",2022-04-28T03:02:40.083Z,165111496008301
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""Hojr @ ZjUOreNbvL"") --",2022-04-28T03:02:40.083Z,165111496008300
"-- ending hand #95 --",2022-04-28T03:02:37.060Z,165111495706002
"""erfan m @ QiP7VCJIwA"" collected 5000 from pot",2022-04-28T03:02:37.060Z,165111495706001
"Uncalled bet of 6000 returned to ""erfan m @ QiP7VCJIwA""",2022-04-28T03:02:37.060Z,165111495706000
"""Mahboub @ 6bzXjnEYxs"" folds",2022-04-28T03:02:36.207Z,165111495620700
"""Hojr @ ZjUOreNbvL"" folds",2022-04-28T03:02:34.679Z,165111495467900
"""erfan m @ QiP7VCJIwA"" raises to 8000",2022-04-28T03:02:31.885Z,165111495188500
"""Samiraa @ casYoi_zZN"" folds",2022-04-28T03:02:24.067Z,165111494406700
"""Nasrin @ CEk0cMuwn3"" folds",2022-04-28T03:02:18.784Z,165111493878400
"""Mahboub @ 6bzXjnEYxs"" posts a big blind of 2000",2022-04-28T03:02:16.129Z,165111493612908
"""Hojr @ ZjUOreNbvL"" posts a small blind of 1000",2022-04-28T03:02:16.129Z,165111493612907
"Player stacks: #2 ""erfan m @ QiP7VCJIwA"" (63702) | #3 ""Hojr @ ZjUOreNbvL"" (15008) | #6 ""Mahboub @ 6bzXjnEYxs"" (18608) | #7 ""Nasrin @ CEk0cMuwn3"" (5728) | #10 ""Samiraa @ casYoi_zZN"" (22444)",2022-04-28T03:02:16.129Z,165111493612901
"-- starting hand #95  (No Limit Texas Hold'em) (dealer: ""erfan m @ QiP7VCJIwA"") --",2022-04-28T03:02:16.129Z,165111493612900
"-- ending hand #94 --",2022-04-28T03:02:13.131Z,165111493313102
"""Hojr @ ZjUOreNbvL"" collected 4000 from pot",2022-04-28T03:02:13.131Z,165111493313101
"Uncalled bet of 2000 returned to ""Hojr @ ZjUOreNbvL""",2022-04-28T03:02:13.131Z,165111493313100
"""erfan m @ QiP7VCJIwA"" folds",2022-04-28T03:02:12.263Z,165111493226300
"""Hojr @ ZjUOreNbvL"" bets 2000",2022-04-28T03:02:07.296Z,165111492729600
"""erfan m @ QiP7VCJIwA"" checks",2022-04-28T03:02:05.989Z,165111492598900
"Flop:  [Q♠, 3♠, 9♥]",2022-04-28T03:02:01.211Z,165111492121100
"""Hojr @ ZjUOreNbvL"" checks",2022-04-28T03:02:00.395Z,165111492039500
"""erfan m @ QiP7VCJIwA"" calls 2000",2022-04-28T03:01:59.418Z,165111491941800
"""Samiraa @ casYoi_zZN"" folds",2022-04-28T03:01:57.479Z,165111491747900
"""Nasrin @ CEk0cMuwn3"" folds",2022-04-28T03:01:56.530Z,165111491653000
"""Mahboub @ 6bzXjnEYxs"" folds",2022-04-28T03:01:54.511Z,165111491451100
"""Hojr @ ZjUOreNbvL"" posts a big blind of 2000",2022-04-28T03:01:51.896Z,165111491189608
"""erfan m @ QiP7VCJIwA"" posts a small blind of 1000",2022-04-28T03:01:51.896Z,165111491189607
"Player stacks: #2 ""erfan m @ QiP7VCJIwA"" (65702) | #3 ""Hojr @ ZjUOreNbvL"" (13008) | #6 ""Mahboub @ 6bzXjnEYxs"" (18608) | #7 ""Nasrin @ CEk0cMuwn3"" (5728) | #10 ""Samiraa @ casYoi_zZN"" (22444)",2022-04-28T03:01:51.896Z,165111491189601
"-- starting hand #94  (No Limit Texas Hold'em) (dealer: ""Samiraa @ casYoi_zZN"") --",2022-04-28T03:01:51.896Z,165111491189600
"-- ending hand #93 --",2022-04-28T03:01:48.901Z,165111490890102
"""Samiraa @ casYoi_zZN"" collected 4000 from pot",2022-04-28T03:01:48.901Z,165111490890101
"Uncalled bet of 4000 returned to ""Samiraa @ casYoi_zZN""",2022-04-28T03:01:48.901Z,165111490890100
"""erfan m @ QiP7VCJIwA"" folds",2022-04-28T03:01:48.084Z,165111490808400
"""Samiraa @ casYoi_zZN"" bets 4000",2022-04-28T03:01:46.257Z,165111490625700
"Flop:  [2♣, Q♦, 9♥]",2022-04-28T03:01:42.669Z,165111490266900
"""erfan m @ QiP7VCJIwA"" checks",2022-04-28T03:01:41.839Z,165111490183900
"""Samiraa @ casYoi_zZN"" calls 2000",2022-04-28T03:01:40.093Z,165111490009300
"""Nasrin @ CEk0cMuwn3"" folds",2022-04-28T03:01:39.108Z,165111489910800
"""Mahboub @ 6bzXjnEYxs"" folds",2022-04-28T03:01:38.162Z,165111489816200
"""Hojr @ ZjUOreNbvL"" folds",2022-04-28T03:01:35.922Z,165111489592200
"""erfan m @ QiP7VCJIwA"" posts a big blind of 2000",2022-04-28T03:01:32.860Z,165111489286008
"""Samiraa @ casYoi_zZN"" posts a small blind of 1000",2022-04-28T03:01:32.860Z,165111489286007
"Player stacks: #2 ""erfan m @ QiP7VCJIwA"" (67702) | #3 ""Hojr @ ZjUOreNbvL"" (13008) | #6 ""Mahboub @ 6bzXjnEYxs"" (18608) | #7 ""Nasrin @ CEk0cMuwn3"" (5728) | #10 ""Samiraa @ casYoi_zZN"" (20444)",2022-04-28T03:01:32.860Z,165111489286001
"-- starting hand #93  (No Limit Texas Hold'em) (dealer: ""Nasrin @ CEk0cMuwn3"") --",2022-04-28T03:01:32.860Z,165111489286000
"-- ending hand #92 --",2022-04-28T03:01:29.860Z,165111488986002
"""Samiraa @ casYoi_zZN"" collected 2000 from pot",2022-04-28T03:01:29.860Z,165111488986001
"Uncalled bet of 1000 returned to ""Samiraa @ casYoi_zZN""",2022-04-28T03:01:29.860Z,165111488986000
"""Nasrin @ CEk0cMuwn3"" folds",2022-04-28T03:01:29.012Z,165111488901200
"""Mahboub @ 6bzXjnEYxs"" folds",2022-04-28T03:01:27.111Z,165111488711100
"""Hojr @ ZjUOreNbvL"" folds",2022-04-28T03:01:17.462Z,165111487746200
"""erfan m @ QiP7VCJIwA"" folds",2022-04-28T03:01:16.430Z,165111487643000
"""Samiraa @ casYoi_zZN"" posts a big blind of 2000",2022-04-28T03:01:14.024Z,165111487402408
"""Nasrin @ CEk0cMuwn3"" posts a small blind of 1000",2022-04-28T03:01:14.024Z,165111487402407
"Player stacks: #2 ""erfan m @ QiP7VCJIwA"" (67702) | #3 ""Hojr @ ZjUOreNbvL"" (13008) | #6 ""Mahboub @ 6bzXjnEYxs"" (18608) | #7 ""Nasrin @ CEk0cMuwn3"" (6728) | #10 ""Samiraa @ casYoi_zZN"" (19444)",2022-04-28T03:01:14.024Z,165111487402401
"-- starting hand #92  (No Limit Texas Hold'em) (dealer: ""Mahboub @ 6bzXjnEYxs"") --",2022-04-28T03:01:14.024Z,165111487402400
"""Mahboub @ 6bzXjnEYxs"" shows a J♦, A♣.",2022-04-28T03:01:12.659Z,165111487265900
"-- ending hand #91 --",2022-04-28T03:01:10.353Z,165111487035302
"""Samiraa @ casYoi_zZN"" collected 5000 from pot",2022-04-28T03:01:10.353Z,165111487035301
"Uncalled bet of 14444 returned to ""Samiraa @ casYoi_zZN""",2022-04-28T03:01:10.353Z,165111487035300
"""Nasrin @ CEk0cMuwn3"" folds",2022-04-28T03:01:09.468Z,165111486946800
"""Mahboub @ 6bzXjnEYxs"" folds",2022-04-28T03:01:08.432Z,165111486843200
"""Hojr @ ZjUOreNbvL"" folds",2022-04-28T03:01:05.459Z,165111486545900
"""erfan m @ QiP7VCJIwA"" folds",2022-04-28T03:01:04.506Z,165111486450600
"""Samiraa @ casYoi_zZN"" raises to 16444 and go all in",2022-04-28T03:01:01.611Z,165111486161100
"""Nasrin @ CEk0cMuwn3"" posts a big blind of 2000",2022-04-28T03:00:56.412Z,165111485641211
"""Mahboub @ 6bzXjnEYxs"" posts a small blind of 1000",2022-04-28T03:00:56.412Z,165111485641210
"Player stacks: #2 ""erfan m @ QiP7VCJIwA"" (67702) | #3 ""Hojr @ ZjUOreNbvL"" (13008) | #6 ""Mahboub @ 6bzXjnEYxs"" (19608) | #7 ""Nasrin @ CEk0cMuwn3"" (8728) | #10 ""Samiraa @ casYoi_zZN"" (16444)",2022-04-28T03:00:56.412Z,165111485641204
"-- starting hand #91  (No Limit Texas Hold'em) (dead button) --",2022-04-28T03:00:56.412Z,165111485641203
"The game's big blind was changed from 1000 to 2000.",2022-04-28T03:00:56.412Z,165111485641202
"The game's small blind was changed from 500 to 1000.",2022-04-28T03:00:56.412Z,165111485641201
"The player ""Kamran @ qVHsrcyBJS"" quits the game with a stack of 0.",2022-04-28T03:00:56.412Z,165111485641200
"-- ending hand #90 --",2022-04-28T03:00:50.336Z,165111485033604
"""Kamran @ qVHsrcyBJS"" shows a K♦, 6♦.",2022-04-28T03:00:50.336Z,165111485033603
"""erfan m @ QiP7VCJIwA"" collected 10081 from pot with Three of a Kind, 7's (combination: 7♥, 7♣, 7♦, J♣, 8♣)",2022-04-28T03:00:50.336Z,165111485033602
