entry,at,order
"""Mehrnaz @ VvFtLB9UCz"" shows a A♠, A♦.",2022-04-28T02:24:22.233Z,165111266223300
"-- ending hand #89 --",2022-04-28T02:24:20.960Z,165111266096002
"""Mehrnaz @ VvFtLB9UCz"" collected 12400 from pot",2022-04-28T02:24:20.960Z,165111266096001
"Uncalled bet of 17418 returned to ""Mehrnaz @ VvFtLB9UCz""",2022-04-28T02:24:20.960Z,165111266096000
"""Mohammad A @ 4UYO0LRn6g"" folds",2022-04-28T02:24:20.104Z,165111266010400
"""Mehrnaz @ VvFtLB9UCz"" raises to 19918 and go all in",2022-04-28T02:23:58.922Z,165111263892200
"""Mohammad A @ 4UYO0LRn6g"" bets 2500",2022-04-28T02:23:56.162Z,165111263616200
"River: 6♠, 9♣, A♣, J♦ [J♥]",2022-04-28T02:23:45.923Z,165111262592300
"""Mehrnaz @ VvFtLB9UCz"" calls 500",2022-04-28T02:23:45.043Z,165111262504300
"""Mohammad A @ 4UYO0LRn6g"" bets 500",2022-04-28T02:23:39.067Z,165111261906700
"Turn: 6♠, 9♣, A♣ [J♦]",2022-04-28T02:23:33.412Z,165111261341200
"""Mohammad A @ 4UYO0LRn6g"" calls 500",2022-04-28T02:23:32.511Z,165111261251100
"""Mehrnaz @ VvFtLB9UCz"" bets 500",2022-04-28T02:23:30.957Z,165111261095700
"""Mohammad A @ 4UYO0LRn6g"" checks",2022-04-28T02:23:28.124Z,165111260812400
"Flop:  [6♠, 9♣, A♣]",2022-04-28T02:23:17.002Z,165111259700200
"""Kamran @ qVHsrcyBJS"" folds",2022-04-28T02:23:16.104Z,165111259610400
"""Hojr2 @ ZjUOreNbvL"" folds",2022-04-28T02:23:00.102Z,165111258010200
"""Mohammad A @ 4UYO0LRn6g"" calls 2200",2022-04-28T02:22:58.629Z,165111257862900
"""Mehrnaz @ VvFtLB9UCz"" raises to 2200",2022-04-28T02:22:57.785Z,165111257778500
"""Kamran @ qVHsrcyBJS"" calls 500",2022-04-28T02:22:54.259Z,165111257425900
"""Tina @ okuQ8bEaCR"" folds",2022-04-28T02:22:48.957Z,165111256895700
"""Hojr2 @ ZjUOreNbvL"" posts a big blind of 500",2022-04-28T02:22:42.290Z,165111256229008
"""Mohammad A @ 4UYO0LRn6g"" posts a small blind of 200",2022-04-28T02:22:42.290Z,165111256229007
"Your hand is Q♠, 5♦",2022-04-28T02:22:42.290Z,165111256229003
"Player stacks: #1 ""Mehrnaz @ VvFtLB9UCz"" (23118) | #2 ""Mohammad A @ 4UYO0LRn6g"" (23838) | #5 ""Hojr2 @ ZjUOreNbvL"" (13008) | #7 ""Tina @ okuQ8bEaCR"" (18330) | #10 ""Kamran @ qVHsrcyBJS"" (14527)",2022-04-28T02:22:42.290Z,165111256229001
"-- starting hand #89  (No Limit Texas Hold'em) (dealer: ""Mehrnaz @ VvFtLB9UCz"") --",2022-04-28T02:22:42.290Z,165111256229000
"-- ending hand #88 --",2022-04-28T02:22:39.299Z,165111255929902
"""Kamran @ qVHsrcyBJS"" collected 1700 from pot",2022-04-28T02:22:39.299Z,165111255929901
"Uncalled bet of 1275 returned to ""Kamran @ qVHsrcyBJS""",2022-04-28T02:22:39.299Z,165111255929900
"""Tina @ okuQ8bEaCR"" folds",2022-04-28T02:22:38.418Z,165111255841800
"""Mohammad A @ 4UYO0LRn6g"" folds",2022-04-28T02:22:34.105Z,165111255410500
"""Mehrnaz @ VvFtLB9UCz"" folds",2022-04-28T02:22:33.197Z,165111255319700
"""Kamran @ qVHsrcyBJS"" raises to 1775",2022-04-28T02:22:29.834Z,165111254983400
"""Tina @ okuQ8bEaCR"" calls 500",2022-04-28T02:22:27.064Z,165111254706400
"""Hojr2 @ ZjUOreNbvL"" folds",2022-04-28T02:22:21.864Z,165111254186400
"""Mohammad A @ 4UYO0LRn6g"" posts a big blind of 500",2022-04-28T02:22:20.586Z,165111254058608
"""Mehrnaz @ VvFtLB9UCz"" posts a small blind of 200",2022-04-28T02:22:20.586Z,165111254058607
"Your hand is K♠, 5♦",2022-04-28T02:22:20.586Z,165111254058603
"Player stacks: #1 ""Mehrnaz @ VvFtLB9UCz"" (23318) | #2 ""Mohammad A @ 4UYO0LRn6g"" (24338) | #5 ""Hojr2 @ ZjUOreNbvL"" (13008) | #7 ""Tina @ okuQ8bEaCR"" (18830) | #10 ""Kamran @ qVHsrcyBJS"" (13327)",2022-04-28T02:22:20.586Z,165111254058601
"-- starting hand #88  (No Limit Texas Hold'em) (dealer: ""Kamran @ qVHsrcyBJS"") --",2022-04-28T02:22:20.586Z,165111254058600
"-- ending hand #87 --",2022-04-28T02:22:17.673Z,165111253767302
"""Mohammad A @ 4UYO0LRn6g"" collected 4500 from pot",2022-04-28T02:22:17.673Z,165111253767301
"Uncalled bet of 2500 returned to ""Mohammad A @ 4UYO0LRn6g""",2022-04-28T02:22:17.673Z,165111253767300
"""Kamran @ qVHsrcyBJS"" folds",2022-04-28T02:22:16.778Z,165111253677800
"""Mohammad A @ 4UYO0LRn6g"" bets 2500",2022-04-28T02:22:00.849Z,165111252084900
"""Kamran @ qVHsrcyBJS"" checks",2022-04-28T02:21:57.836Z,165111251783600
"River: 5♣, K♥, J♥, 8♥ [A♣]",2022-04-28T02:21:55.466Z,165111251546600
"""Mohammad A @ 4UYO0LRn6g"" checks",2022-04-28T02:21:54.584Z,165111251458400
"""Kamran @ qVHsrcyBJS"" checks",2022-04-28T02:21:49.359Z,165111250935900
"Turn: 5♣, K♥, J♥ [8♥]",2022-04-28T02:21:46.339Z,165111250633900
