entry,at,order
"The player ""Mehrnaz1 @ 38-i-hGO-o"" passed the room ownership to ""erfan m @ QiP7VCJIwA"".",2022-04-28T04:40:54.213Z,165112085421300
"The player ""Mohammad M @ xHiJmE_Qdf"" quits the game with a stack of 0.",2022-04-28T04:25:42.950Z,165111994295000
"-- ending hand #202 --",2022-04-28T04:25:36.846Z,165111993684601
"""erfan m @ QiP7VCJIwA"" collected 124148 from pot with Two Pair, A's & 10's (combination: A♠, A♥, 10♣, 10♥, K♠)",2022-04-28T04:25:36.846Z,165111993684600
"River: Q♠, 10♥, 5♠, K♠ [A♥]",2022-04-28T04:25:32.836Z,165111993283600
"Turn: Q♠, 10♥, 5♠ [K♠]",2022-04-28T04:25:28.717Z,165111992871700
"Flop:  [Q♠, 10♥, 5♠]",2022-04-28T04:25:24.714Z,165111992471400
"""erfan m @ QiP7VCJIwA"" shows a 10♣, A♠.",2022-04-28T04:25:20.633Z,165111992063301
"""Mohammad M @ xHiJmE_Qdf"" shows a 2♠, A♣.",2022-04-28T04:25:20.633Z,165111992063300
"""erfan m @ QiP7VCJIwA"" calls 62074",2022-04-28T04:25:19.725Z,165111991972500
"""Mohammad M @ xHiJmE_Qdf"" raises to 62074 and go all in",2022-04-28T04:25:14.677Z,165111991467700
"""erfan m @ QiP7VCJIwA"" calls 20000",2022-04-28T04:25:10.551Z,165111991055100
"""Mohammad M @ xHiJmE_Qdf"" posts a big blind of 20000",2022-04-28T04:25:08.035Z,165111990803505
"""erfan m @ QiP7VCJIwA"" posts a small blind of 10000",2022-04-28T04:25:08.035Z,165111990803504
"Player stacks: #8 ""Mohammad M @ xHiJmE_Qdf"" (62074) | #10 ""erfan m @ QiP7VCJIwA"" (371976)",2022-04-28T04:25:08.035Z,165111990803501
"-- starting hand #202  (No Limit Texas Hold'em) (dealer: ""erfan m @ QiP7VCJIwA"") --",2022-04-28T04:25:08.035Z,165111990803500
"-- ending hand #201 --",2022-04-28T04:25:05.110Z,165111990511002
"""erfan m @ QiP7VCJIwA"" collected 20000 from pot",2022-04-28T04:25:05.110Z,165111990511001
"Uncalled bet of 10000 returned to ""erfan m @ QiP7VCJIwA""",2022-04-28T04:25:05.110Z,165111990511000
"""Mohammad M @ xHiJmE_Qdf"" folds",2022-04-28T04:25:04.224Z,165111990422400
"""erfan m @ QiP7VCJIwA"" posts a big blind of 20000",2022-04-28T04:25:01.821Z,165111990182105
"""Mohammad M @ xHiJmE_Qdf"" posts a small blind of 10000",2022-04-28T04:25:01.821Z,165111990182104
"Player stacks: #8 ""Mohammad M @ xHiJmE_Qdf"" (72074) | #10 ""erfan m @ QiP7VCJIwA"" (361976)",2022-04-28T04:25:01.821Z,165111990182101
"-- starting hand #201  (No Limit Texas Hold'em) (dealer: ""Mohammad M @ xHiJmE_Qdf"") --",2022-04-28T04:25:01.821Z,165111990182100
"-- ending hand #200 --",2022-04-28T04:24:58.817Z,165111989881702
"""erfan m @ QiP7VCJIwA"" collected 40000 from pot",2022-04-28T04:24:58.817Z,165111989881701
"Uncalled bet of 20000 returned to ""erfan m @ QiP7VCJIwA""",2022-04-28T04:24:58.817Z,165111989881700
"""Mohammad M @ xHiJmE_Qdf"" folds",2022-04-28T04:24:57.908Z,165111989790800
"""erfan m @ QiP7VCJIwA"" bets 20000",2022-04-28T04:24:56.384Z,165111989638400
