entry,at,order
"The player ""Masoud @ 93I36FlQy6"" passed the room ownership to ""Nikoo @ wjuyYnx8BE"".",2022-04-28T04:57:19.019Z,165112183901900
"The admin ""Masoud @ 93I36FlQy6"" enqueued the game stop on next hand.",2022-04-28T03:43:06.036Z,165111738603600
"The admin ""Masoud @ 93I36FlQy6"" canceled the game stop on next hand.",2022-04-28T03:43:01.149Z,165111738114900
"The admin ""Masoud @ 93I36FlQy6"" enqueued the game stop on next hand.",2022-04-28T03:42:55.131Z,165111737513100
"The admin ""Masoud @ 93I36FlQy6"" enqueued the removal of the player ""Erfan S @ dXrSQqdeWD"".",2022-04-28T03:37:36.747Z,165111705674700
"""Tina @ okuQ8bEaCR"" shows a Q♣, 10♠.",2022-04-28T03:34:24.361Z,165111686436100
"-- ending hand #121 --",2022-04-28T03:34:23.430Z,165111686343002
"""Shohreh @ UA4oSZwjWd"" collected 10000 from pot with Pair, J's (combination: J♣, J♦, Q♥, 10♦, 8♠)",2022-04-28T03:34:23.430Z,165111686343001
"""Shohreh @ UA4oSZwjWd"" shows a J♣, 5♥.",2022-04-28T03:34:23.430Z,165111686343000
"""Farshad @ uZe35g6TbS"" checks",2022-04-28T03:34:22.563Z,165111686256300
"""Shohreh @ UA4oSZwjWd"" checks",2022-04-28T03:34:20.950Z,165111686095000
"River: Q♥, 2♣, J♦, 10♦ [8♠]",2022-04-28T03:34:19.825Z,165111685982500
"""Farshad @ uZe35g6TbS"" checks",2022-04-28T03:34:18.996Z,165111685899600
"""Shohreh @ UA4oSZwjWd"" checks",2022-04-28T03:34:17.135Z,165111685713500
"Turn: Q♥, 2♣, J♦ [10♦]",2022-04-28T03:34:15.823Z,165111685582300
"""Farshad @ uZe35g6TbS"" checks",2022-04-28T03:34:14.993Z,165111685499300
"""Shohreh @ UA4oSZwjWd"" checks",2022-04-28T03:34:13.414Z,165111685341400
"Flop:  [Q♥, 2♣, J♦]",2022-04-28T03:34:11.500Z,165111685150000
"""Farshad @ uZe35g6TbS"" checks",2022-04-28T03:34:10.678Z,165111685067800
"""Shohreh @ UA4oSZwjWd"" calls 5000",2022-04-28T03:34:08.036Z,165111684803600
"""Erfan S @ dXrSQqdeWD"" folds",2022-04-28T03:34:06.349Z,165111684634900
"""Tina @ okuQ8bEaCR"" folds",2022-04-28T03:34:02.679Z,165111684267900
"""Maziar K @ qkR2eFOHb5"" folds",2022-04-28T03:34:00.383Z,165111684038300
"""Nikoo @ wjuyYnx8BE"" folds",2022-04-28T03:33:47.410Z,165111682741000
"""erfan m @ QiP7VCJIwA"" folds",2022-04-28T03:33:46.406Z,165111682640600
"""Farshad @ uZe35g6TbS"" posts a big blind of 5000",2022-04-28T03:33:42.671Z,165111682267110
